устройство,устройство,Устройство,корпус в идеале,немного потертый,в царапинах/потертый,дисплей в идеале,царапины на экране,разбито стекло,полосы/пятна на экране,экран не работает,камера в идеале,разбито стекло камеры,камера не работает,других проблем нет,не работает фейс,проблемы со звуком,нерабочие кнопки
начальная стоимость,callback_data,Модель,_korpus_ideal,_korpus_medium,_korpus_bad,_display_ideal,_display_scratch,_display_badglass,_display_badlines,_display_fucked,_camera_ideal,_camera_badglass,_camera_fucked,_other_ideal,_other_faceid,_other_sound,_other_buttons
100000,pricing_x,X,0,11000,12000,0,10000,12000,50000,50000,0,11000,10000,0,13000,8000,7000
105000,pricing_xs,  XS,0,11000,12000,0,10000,12000,50000,50000,0,11000,10000,0,13000,8000,7000
110000,pricing_xsmax,  XS MAX,0,11000,12000,0,10000,12000,50000,50000,0,11000,10000,0,13000,8000,7000
105000,pricing_xr,  XR,0,11000,12000,0,10000,12000,50000,50000,0,11000,10000,0,13000,8000,7000
100000,pricing_11,11,0,11000,12000,0,10000,12000,50000,50000,0,11000,10000,0,13000,8000,7000
113000,pricing_11pro,  11 PRO,0,11000,12000,0,10000,12000,50000,50000,0,11000,10000,0,13000,8000,7000
120000,pricing_11promax,11 Pro Max,0,11000,12000,0,10000,12000,50000,50000,0,11000,10000,0,13000,8000,7000
108000,pricing_12,12,0,11000,12000,0,10000,12000,50000,50000,0,11000,10000,0,13000,8000,7000
100000,pricing_12mini,  12 mini,0,11000,12000,0,10000,12000,50000,50000,0,11000,10000,0,13000,8000,7000
130000,pricing_12pro,  12 PRO,0,11000,12000,0,10000,12000,50000,50000,0,11000,10000,0,13000,8000,7000
135000,pricing_12promax,12 Pro Max,0,11000,12000,0,10000,12000,50000,50000,0,11000,12000,0,18000,10000,7000
110000,pricing_13,13,0,11000,12000,0,10000,12000,50000,50000,0,11000,14000,0,21000,13000,7000
115000,pricing_13mini,  13 mini,0,11000,14000,0,10000,12000,50000,50000,0,11000,17000,0,24000,17000,10000
170000,pricing_13pro,  13 PRO,0,13000,17000,0,10000,12000,50000,50000,0,11000,20000,0,27000,18000,13000
185000,pricing_13promax,  13 PM,0,15000,19000,0,10000,12000,50000,50000,0,11000,25000,0,30000,20000,15000
170000,pricing_14,14,0,20000,22000,0,10000,19000,50000,50000,0,14000,30000,0,32000,22000,17000
178000,pricing_14plus,  14 Plus,0,25000,25000,0,10000,23000,150000,150000,0,18000,32000,0,34000,24000,19000
255000,pricing_14pro,  14 PRO,0,28000,32000,0,12000,27000,170000,170000,0,21000,35000,0,37000,27000,23000
270000,pricing_14promax,  14 PM,0,30000,35000,0,14000,30000,190000,190000,0,25000,40000,0,40000,30000,27000