callback,МОДЕЛЬ,"ДИСПЛЕЙ ОРИГИНАЛ","ДИСПЛЕЙ ДУБЛИКАТ",СТЕКЛО,"ЗАДНЯЯ КРЫШКА",КОРПУС,АККУМУЛЯТОР,ПЛАТА,"СТЕКЛО КАМЕРЫ",ЗАДНЯЯ КАМЕРА,ФРОНТАЛЬНАЯ КАМЕРА,FACE ID,"НИЖНИЙ ШЛЕЙФ"
repair_se2020,se2020,25 000,18 000,15 000,15 000,30 000,15 000,60 000,10 000,25 000,20 000,не обслуживается,25 000
repair_6,6,18 000,13 000,10 000,не обслуживается,не обслуживается,11 000,30 000,не обслуживается,10 000,20 000,не обслуживается,10 000
repair_6Plus,6Plus,22 000,18 000,10 000,не обслуживается,не обслуживается,11 000,30 000,не обслуживается,10 000,20 000,не обслуживается,10 000
repair_6S,6S,19 000,13 000,9 000,не обслуживается,не обслуживается,11 000,30 000,не обслуживается,10 000,20 000,не обслуживается,10 000
repair_6SPlus,6SPlus,24 000,17 000,10 000,не обслуживается,не обслуживается,11 000,30 000,8 000,10 000,20 000,не обслуживается,10 000
repair_7,7,23 000,18 000,12 000,не обслуживается,не обслуживается,11 000,35 000,8 000,12 000,20 000,не обслуживается,18 000
repair_7Plus,7Plus,25 000,18 000,12 000,не обслуживается,не обслуживается,11 000,35 000,10 000,20 000,20 000,не обслуживается,25 000
repair_8,8,25 000,18 000,15 000,15 000,30 000,15 000,60 000,10 000,25 000,20 000,не обслуживается,25 000
repair_8Plus,8Plus,26 000,18 000,15 000,20 000,45 000,17 000,60 000,10 000,20 000,20 000,не обслуживается,25 000
repair_X,X,50 000,35 000,30 000,20 000,40 000,18 000,70 000,12 000,25 000,20 000,30 000,20 000
repair_XS,XS,50 000,35 000,35 000,20 000,40 000,24 000,70 000,12 000,25 000,20 000,30 000,20 000
repair_XSMAX,XSMAX,70 000,55 000,40 000,20 000,45 000,29 000,80 000,12 000,25 000,20 000,35 000,20 000
repair_XR,XR,45 000,35 000,40 000,20 000,40 000,24 000,70 000,12 000,25 000,20 000,35 000,20 000
repair_11,11,55 000,35 000,40 000,20 000,45 000,24 000,90 000,15 000,30 000,25 000,35 000,25 000
repair_11Pro,11Pro,85 000,50 000,50 000,25 000,45 000,29 000,90 000,15 000,30 000,20 000,35 000,25 00
repair_11ProMax,11ProMax,85 000,60 000,55 000,30 000,50 000,30 000,100 000,15 000,30 000,20 000,35 000,25 000
repair_12,12,90 000,60 000,60 000,25 000,50 000,30 000,120 000,20 000 ,30 000,25 000,40 000,25 000
repair_12mini,12mini,110 000,55 000,35 000,25 000,50 000,30 000,120 000,20 000,30 000,25 000,45 000,25 000
repair_12Pro,12Pro,90 000,60 000,60 000,30 000,60 000,30 000,120 000,20 000,35 000,25 000,40 000,25 000
repair_12ProMax,12ProMax,150 000,80 000,45 000,35 000,65 000,35 000,120 000,20 000,45 000,25 000,40 000,25 000
repair_13,13,100 000,65 000,45 000,30 000,55 000,40 000,130 000,25 000,40 000,30 000,50 000,30 000
repair_13mini,13mini,140 000,не обслуживается,40 000,25 000,55 000,40 000,130 000,25 000,40 000,30 000,50 000,30 000
repair_13Pro,13Pro,190 000,90 000,50 000,35 000,65 000,40 000,130 000,25 000,50 000,30 000,50 000,35 000
repair_13ProMax,13ProMax,190 000,100 000,55 000,40 000,70 000,45 000,130 000,25 000,50 000,30 000,50 000,40 000
repair_14,14,190 000,,60 000,40 000,80 000,50 000,140 000,30 000,75 000,40 000,60 000,40 000
repair_14Plus,14Plus,не обслуживается,не обслуживается,не обслуживается,не обслуживается,не обслуживается,не обслуживается,не обслуживается,не обслуживается,не обслуживается,не обслуживается,не обслуживается,не обслуживается
repair_14Pro,14Pro,220 000,не обслуживается,70 000,45 000,90 000,55 000,140 000,30 000,75 000,40 000,60 000,45 000
repair_14ProMax,14ProMax,240 000,не обслуживается,75 000,50 000,120 000,60 000,140 000,30 000,75 000,40 000,60 000,50 000